warning_feature,feature_set,#best_hyperparameters,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_infer,set3,c (3) cw (3),knn,TNPU,mse,47357.38263840865,47051.10485607627,46999.82960595172,46869.94665948963,306.2777823323777,129.88294646209397,0.25,0.1111111111111111,negligible,3
warnings_infer,set3,c (3) cw (3),knn,TNPU,mae,129.52047241318525,126.12521064692405,127.8716492427016,125.37381550936284,3.3952617662612,2.4978337333387515,0.25,0.3333333333333333,medium,3
warnings_infer,set3,c (10) cw (10),random_forest,TNPU,mse,44058.96410419965,44309.213835813985,44334.75052899089,44543.05829721116,-250.24973161433445,-208.3077682202711,0.947265625,-0.2,small,10
warnings_infer,set3,c (10) cw (10),random_forest,TNPU,mae,133.3786041764116,128.767571026754,133.92897187375465,129.44302808606903,4.611033149657601,4.485943787685613,0.0048828125,0.6,large,10
warnings_openjml,set3,c (1) cw (1),svm,TNPU,mse,49826.78553318912,50605.11085708098,49826.78553318912,50605.11085708098,-778.3253238918624,-778.3253238918624,1.0,-1.0,large,1
warnings_openjml,set3,c (1) cw (1),svm,TNPU,mae,113.20231445878956,115.16985620050768,113.20231445878956,115.16985620050768,-1.9675417417181222,-1.9675417417181222,1.0,-1.0,large,1
warnings_openjml,set3,c (6) cw (6),mlp,TNPU,mse,104541.429488734,79199.69160515755,108228.54957055797,92559.30786093148,25341.73788357644,15669.241709626483,0.21875,0.16666666666666666,small,6
warnings_openjml,set3,c (6) cw (6),mlp,TNPU,mae,267.33490851557974,211.85042148697954,247.68945182191442,201.67409817944485,55.4844870286002,46.01535364246956,0.109375,0.5,large,6
warnings_openjml,set3,c (2) cw (2),linear_regression,TNPU,mse,134351.40848583187,135848.17536060323,134351.40848583187,135848.17536060323,-1496.7668747713615,-1496.7668747713615,0.8144533152386513,-0.25,small,2
warnings_openjml,set3,c (2) cw (2),linear_regression,TNPU,mae,288.8201206745609,290.1820733548153,288.8201206745609,290.1820733548153,-1.3619526802544328,-1.3619526802544328,0.8144533152386513,-0.25,small,2
warnings_openjml,set3,c (3) cw (3),knn,TNPU,mse,47362.66794124214,46600.37132005405,47158.0710832286,46955.153076320195,762.2966211880921,202.91800690840319,0.625,-0.1111111111111111,negligible,3
warnings_openjml,set3,c (3) cw (3),knn,TNPU,mae,121.30946941653448,122.7693283976732,123.93914846303001,124.33679887184913,-1.4598589811387228,-0.39765040881911773,0.625,0.1111111111111111,negligible,3
warnings_openjml,set3,c (8) cw (8),random_forest,TNPU,mse,44013.66241408294,44771.8860301359,44009.29385381928,44629.60505155462,-758.2236160529646,-620.3111977353401,0.98046875,-0.65625,large,8
warnings_openjml,set3,c (8) cw (8),random_forest,TNPU,mae,134.63848266693455,126.96565583645975,134.36039142663017,126.73573539029628,7.672826830474804,7.624656036333889,0.00390625,1.0,large,8
warnings_typestate_checker,set3,c (1) cw (1),svm,TNPU,mse,49826.78553318912,51639.560071583386,49826.78553318912,51639.560071583386,-1812.7745383942674,-1812.7745383942674,1.0,-1.0,large,1
warnings_typestate_checker,set3,c (1) cw (1),svm,TNPU,mae,113.20231445878956,116.6903581971238,113.20231445878956,116.6903581971238,-3.488043738334241,-3.488043738334241,1.0,-1.0,large,1
warnings_typestate_checker,set3,c (7) cw (7),mlp,TNPU,mse,97245.7146885905,102066.15048274404,102718.76013222,251714.81221902277,-4820.435794153542,-148996.05208680278,0.46875,-0.1836734693877551,small,7
warnings_typestate_checker,set3,c (7) cw (7),mlp,TNPU,mae,260.4215798329516,234.6632484494819,239.46715238097255,264.52366021819114,25.75833138346968,-25.05650783721859,0.34375,0.10204081632653061,negligible,7
warnings_typestate_checker,set3,c (1) cw (1),linear_regression,TNPU,mse,128278.63538082191,135815.1451568789,128278.63538082191,135815.1451568789,-7536.509776056977,-7536.509776056977,1.0,-1.0,large,1
warnings_typestate_checker,set3,c (1) cw (1),linear_regression,TNPU,mae,269.5580853179184,277.49027974377384,269.5580853179184,277.49027974377384,-7.932194425855414,-7.932194425855414,1.0,-1.0,large,1
warnings_typestate_checker,set3,c (3) cw (3),knn,TNPU,mse,47362.66794124214,46501.27702990775,47158.0710832286,46778.81720259003,861.3909113343907,379.253880638571,0.25,0.3333333333333333,medium,3
warnings_typestate_checker,set3,c (3) cw (3),knn,TNPU,mae,121.30946941653448,121.14392873123704,123.93914846303001,122.96413465493316,0.1655406852974437,0.9750138080968469,0.25,0.3333333333333333,medium,3
warnings_typestate_checker,set3,c (10) cw (10),random_forest,TNPU,mse,43886.53540306269,44403.90687136409,44018.45085311727,44466.4050123417,-517.3714683013968,-447.9541592244277,0.9033203125,-0.3,small,10
warnings_typestate_checker,set3,c (10) cw (10),random_forest,TNPU,mae,132.9578942714436,131.5036572858882,133.39012215803143,132.20034920509278,1.454236985555383,1.1897729529386538,0.1376953125,0.18,small,10
warning_sum,set3,c (1) cw (1),svm,TNPU,mse,49826.78553318912,50362.40489928269,49826.78553318912,50362.40489928269,-535.6193660935678,-535.6193660935678,1.0,-1.0,large,1
warning_sum,set3,c (1) cw (1),svm,TNPU,mae,113.20231445878956,114.7461287346119,113.20231445878956,114.7461287346119,-1.543814275822342,-1.543814275822342,1.0,-1.0,large,1
warning_sum,set3,c (7) cw (7),mlp,TNPU,mse,97245.7146885905,86650.26664266636,102603.5696943697,91714.23456903164,10595.448045924131,10889.335125338053,0.2890625,0.061224489795918366,negligible,7
warning_sum,set3,c (7) cw (7),mlp,TNPU,mae,260.4215798329516,202.61533856155316,238.0076629453133,200.26740072394304,57.80624127139842,37.74026222137027,0.078125,0.42857142857142855,medium,7
warning_sum,set3,c (1) cw (1),linear_regression,TNPU,mse,128278.63538082191,132368.14135702973,128278.63538082191,132368.14135702973,-4089.5059762078163,-4089.5059762078163,1.0,-1.0,large,1
warning_sum,set3,c (1) cw (1),linear_regression,TNPU,mae,269.5580853179184,274.79306035971433,269.5580853179184,274.79306035971433,-5.234975041795906,-5.234975041795906,1.0,-1.0,large,1
warning_sum,set3,c (4) cw (4),knn,TNPU,mse,47360.0252898254,47072.371378351585,47172.83170127557,47129.0842272016,287.6539114738116,43.74747407397081,0.6875,-0.125,negligible,4
warning_sum,set3,c (4) cw (4),knn,TNPU,mae,131.15273915578516,129.00884380558628,129.5096537148732,127.33527818559018,2.143895350198875,2.1743755292830116,0.0625,0.375,medium,4
warning_sum,set3,c (9) cw (9),random_forest,TNPU,mse,43950.86695975242,44273.07210948972,44165.27987155753,44471.333253248915,-322.20514973730315,-306.0533816913812,0.986328125,-0.38271604938271603,medium,9
warning_sum,set3,c (9) cw (9),random_forest,TNPU,mae,135.05919257190257,125.86463007709357,135.68695372536646,126.08674793206124,9.194562494809006,9.600205793305221,0.001953125,0.9259259259259259,large,9
warnings_checker_framework,set3,c (3) cw (3),svm,TAU,mse,0.4045426129487349,0.3371572380482961,0.3080140131659221,0.2628322112113274,0.06738537490043878,0.0451818019545947,0.125,0.5555555555555556,large,3
warnings_checker_framework,set3,c (3) cw (3),svm,TAU,mae,0.5068146514472074,0.4609484203775049,0.4394344363943515,0.40827185379285164,0.0458662310697025,0.031162582601499844,0.125,0.5555555555555556,large,3
warnings_checker_framework,set3,c (7) cw (7),mlp,TAU,mse,0.4456082436938647,0.606192439806033,0.7305697204271153,1.1559240088533775,-0.1605841961121683,-0.4253542884262622,0.984375,-0.3877551020408163,medium,7
warnings_checker_framework,set3,c (7) cw (7),mlp,TAU,mae,0.4997672480119922,0.6377992309151793,0.6650196362660071,0.8080863649287797,-0.13803198290318713,-0.1430667286627726,0.921875,-0.3469387755102041,medium,7
warnings_checker_framework,set3,c (1) cw (1),linear_regression,TAU,mse,0.3782839810935071,0.3760145126660544,0.3782839810935071,0.3760145126660544,0.002269468427452681,0.002269468427452681,0.5,1.0,large,1
warnings_checker_framework,set3,c (1) cw (1),linear_regression,TAU,mae,0.4663528678089412,0.4648640219006255,0.4663528678089412,0.4648640219006255,0.0014888459083157168,0.0014888459083157168,0.5,1.0,large,1
warnings_checker_framework,set3,c (3) cw (3),knn,TAU,mse,0.119769181383095,0.1184960207383057,0.1196372298741634,0.1185244744954217,0.0012731606447893007,0.0011127553787417116,0.125,1.0,large,3
warnings_checker_framework,set3,c (3) cw (3),knn,TAU,mae,0.3071995894551269,0.305755476623016,0.3069672200069531,0.30562461010098657,0.0014441128321108776,0.0013426099059665186,0.125,1.0,large,3
warnings_checker_framework,set3,c (10) cw (10),random_forest,TAU,mse,0.11513303199741384,0.11727206455841495,0.11761462997975339,0.11793842250337785,-0.0021390325610011057,-0.00032379252362446653,0.7216796875,-0.24,small,10
warnings_checker_framework,set3,c (10) cw (10),random_forest,TAU,mae,0.30365102603482597,0.3054503338919998,0.3045597841049523,0.306037246832598,-0.0017993078571738597,-0.001477462727645651,0.947265625,-0.22,small,10
warnings_infer,set3,c (3) cw (3),svm,TAU,mse,0.4045426129487349,0.3349926532937431,0.3080140131659221,0.26131399848683085,0.06954995965499178,0.04670001467909124,0.125,0.5555555555555556,large,3
warnings_infer,set3,c (3) cw (3),svm,TAU,mae,0.5068146514472074,0.4603621533468803,0.4394344363943515,0.4079804430301079,0.04645249810032709,0.03145399336424359,0.125,0.5555555555555556,large,3
warnings_infer,set3,c (8) cw (8),mlp,TAU,mse,0.6990078123571215,1.1201067765816326,0.7554208762820243,1.2829131786608887,-0.4210989642245111,-0.5274923023788645,1.0,-0.4375,medium,8
warnings_infer,set3,c (8) cw (8),mlp,TAU,mae,0.657484812984663,0.8421661783387369,0.6823124582291794,0.8599795274204869,-0.18468136535407387,-0.17766706919130748,0.99609375,-0.40625,medium,8
warnings_infer,set3,c (1) cw (1),linear_regression,TAU,mse,0.3782839810935071,0.3633687281532501,0.3782839810935071,0.3633687281532501,0.014915252940256973,0.014915252940256973,0.5,1.0,large,1
warnings_infer,set3,c (1) cw (1),linear_regression,TAU,mae,0.4663528678089412,0.4649463350703291,0.4663528678089412,0.4649463350703291,0.0014065327386120763,0.0014065327386120763,0.5,1.0,large,1
warnings_infer,set3,c (4) cw (4),knn,TAU,mse,0.11951276419322021,0.11787141336314655,0.119191392703187,0.11798171640796531,0.0016413508300736623,0.0012096762952216872,0.125,0.75,large,4
warnings_infer,set3,c (4) cw (4),knn,TAU,mae,0.3067851913666536,0.30307128095860275,0.30602965069676796,0.3033287329836089,0.003713910408050858,0.0027009177131590567,0.0625,0.875,large,4
warnings_infer,set3,c (10) cw (10),random_forest,TAU,mse,0.11451644740924424,0.11637260711360325,0.11728290172920283,0.1175911014274706,-0.0018561597043590117,-0.00030819969826777205,0.615234375,-0.28,small,10
warnings_infer,set3,c (10) cw (10),random_forest,TAU,mae,0.3035523088964708,0.3047912457122891,0.30447929829705134,0.3052101361347098,-0.0012389368158183256,-0.0007308378376584823,0.7841796875,-0.2,small,10
warnings_openjml,set3,c (3) cw (3),svm,TAU,mse,0.4045426129487349,0.5453714844150511,0.3080140131659221,0.40208079009146136,-0.14082887146631623,-0.09406677692553927,1.0,-0.5555555555555556,large,3
warnings_openjml,set3,c (3) cw (3),svm,TAU,mae,0.5068146514472074,0.5964582250298156,0.4394344363943515,0.49954304202467936,-0.08964357358260822,-0.06010860563032788,1.0,-0.5555555555555556,large,3
warnings_openjml,set3,c (7) cw (7),mlp,TAU,mse,0.9777326344012608,0.9266706080978996,0.8424118272940254,1.213293339149135,0.05106202630336121,-0.37088151185510954,0.9765625,-0.22448979591836735,small,7
warnings_openjml,set3,c (7) cw (7),mlp,TAU,mae,0.8218772396219236,0.6931250453292385,0.7255842602890755,0.8161399495217774,0.12875219429268514,-0.09055568923270185,0.921875,-0.1836734693877551,small,7
warnings_openjml,set3,c (1) cw (1),linear_regression,TAU,mse,0.3782839810935071,0.3905681559580028,0.3782839810935071,0.3905681559580028,-0.012284174864495734,-0.012284174864495734,1.0,-1.0,large,1
warnings_openjml,set3,c (1) cw (1),linear_regression,TAU,mae,0.4663528678089412,0.4725894417798447,0.4663528678089412,0.4725894417798447,-0.006236573970903492,-0.006236573970903492,1.0,-1.0,large,1
warnings_openjml,set3,c (4) cw (4),knn,TAU,mse,0.11951276419322021,0.1163340858419041,0.119191392703187,0.11638998134596582,0.0031786783513161054,0.002801411357221187,0.0625,1.0,large,4
warnings_openjml,set3,c (4) cw (4),knn,TAU,mae,0.3067851913666536,0.301678179083635,0.30602965069676796,0.30154265429731386,0.00510701228301863,0.004486996399454102,0.0625,1.0,large,4
warnings_openjml,set3,c (10) cw (10),random_forest,TAU,mse,0.11419146584380224,0.1203614242757425,0.11749477098281957,0.11917551248068241,-0.0061699584319402645,-0.0016807414978628338,0.8125,-0.26,small,10
warnings_openjml,set3,c (10) cw (10),random_forest,TAU,mae,0.301666674681245,0.30787943359012715,0.3038373982550821,0.30707281119534213,-0.006212758908882177,-0.0032354129402600296,0.9345703125,-0.38,medium,10
warnings_typestate_checker,set3,c (3) cw (3),svm,TAU,mse,0.4045426129487349,0.3927602529826548,0.3080140131659221,0.30062501669099956,0.01178235996608007,0.007388996474922527,0.25,0.3333333333333333,medium,3
warnings_typestate_checker,set3,c (3) cw (3),svm,TAU,mae,0.5068146514472074,0.4970010300699969,0.4394344363943515,0.4334375681588316,0.00981362137721048,0.00599686823551987,0.25,0.3333333333333333,medium,3
warnings_typestate_checker,set3,c (8) cw (8),mlp,TAU,mse,0.7116704390475628,0.6879998068883406,0.7728521000397193,1.0739970095242566,0.02367063215922216,-0.3011449094845373,0.84375,-0.15625,small,8
warnings_typestate_checker,set3,c (8) cw (8),mlp,TAU,mae,0.6608222438169579,0.6371794619696367,0.685958033871765,0.7626168404012814,0.02364278184732116,-0.0766588065295164,0.76953125,-0.15625,small,8
