experiment,warning_feature,feature_set,#best_hyperparameters,use_smote,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,5,False,knn_classifier,PBU,auc,0.5076267700804983,0.5058346553851578,0.5038182815284877,0.5025279589478426,-0.0017921146953404632,-0.001290322580645098,0.891816259871201,0.16,small
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,6,False,logistic_regression,PBU,f1,0.818179794787331,0.8190057066017659,0.8190321508111986,0.8200127627547449,0.0008259118144348099,0.0009806119435462612,0.055917760918677194,-0.25,small
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,6,False,logistic_regression,PBU,precision,0.7174447174447175,0.7158705367588563,0.7147370584704175,0.7140910050053672,-0.0015741806858612373,-0.0006460534650503114,0.3752427096712272,-0.027777777777777776,negligible
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,6,False,logistic_regression,PBU,recall,0.9530744336569579,0.9579288025889967,0.959546925566343,0.9633225458468176,0.004854368932038833,0.003775620280474623,0.055917760918677194,-0.25,small
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,6,False,logistic_regression,PBU,auc,0.5465225140529213,0.543767749769865,0.5408572771608203,0.5396746120349153,-0.0027547642830563213,-0.0011826651259050358,0.3752427096712272,-0.027777777777777776,negligible
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,9,False,randomForest_classifier,PBU,f1,0.8137931034482759,0.8099861303744799,0.8110716553612659,0.8101036656363851,-0.0038069730737960716,-0.000967989724880769,0.6388585186419039,0.25925925925925924,small
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,9,False,randomForest_classifier,PBU,precision,0.713216957605985,0.7121588089330024,0.7118980314926551,0.712002743195071,-0.001058148672982595,0.00010471170241588279,0.6822069388606167,0.16049382716049382,small
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,9,False,randomForest_classifier,PBU,recall,0.941747572815534,0.941747572815534,0.9424667385832434,0.9395900755124056,0.0,-0.0028766630708377816,0.7617889736494885,0.19753086419753085,small
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,9,False,randomForest_classifier,PBU,auc,0.5368450946980825,0.5347542942201853,0.5345625695029302,0.5347808440675236,-0.0020908004778972256,0.00021827456459333483,0.6388585186419039,0.13580246913580246,negligible
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,8,False,mlp_classifier,PBU,f1,0.8207171314741035,0.8181198402130493,0.8189616349144326,0.8146855823170149,-0.0025972912610542354,-0.004276052597417701,0.9203152263222496,0.390625,medium
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,8,False,mlp_classifier,PBU,precision,0.6959459459459459,0.6959459459459459,0.6955874881147353,0.6961244620927564,0.0,0.0005369739780211047,0.5559542337274603,-0.078125,negligible
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,8,False,mlp_classifier,PBU,recall,1.0,0.993527508090615,0.9955501618122977,0.9822006472491909,-0.006472491909385036,-0.013349514563106846,0.871646749739583,0.328125,small
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,8,False,mlp_classifier,PBU,auc,0.5,0.5,0.49917114695340503,0.5003816812582016,0.0,0.0012105343047965622,0.5559542337274603,-0.078125,negligible
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,2,False,bayes_network,PBU,f1,0.7907764460656592,0.7930575487198686,0.7907764460656592,0.7930575487198686,0.0022811026542093327,0.0022811026542093327,0.25,-0.5,large
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,2,False,bayes_network,PBU,precision,0.7117587939698493,0.7154656484415198,0.7117587939698493,0.7154656484415198,0.0037068544716705176,0.0037068544716705176,0.25,-0.5,large
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,2,False,bayes_network,PBU,recall,0.889967637540453,0.889967637540453,0.889967637540453,0.889967637540453,0.0,0.0,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,2,False,bayes_network,PBU,auc,0.5320529016589302,0.5394603090663377,0.5320529016589302,0.5394603090663377,0.007407407407407529,0.007407407407407529,0.25,-0.5,large
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,2,False,SVC,PBU,f1,0.8210968207706087,0.8210968207706087,0.8210968207706087,0.8210968207706087,0.0,0.0,0.5,0.0,negligible
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,2,False,SVC,PBU,precision,0.6988904041656335,0.6988904041656335,0.6988904041656335,0.6988904041656335,0.0,0.0,0.5,0.0,negligible
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,2,False,SVC,PBU,recall,0.9951456310679612,0.9951456310679612,0.9951456310679612,0.9951456310679612,0.0,0.0,0.5,0.0,negligible
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,2,False,SVC,PBU,auc,0.506813463384061,0.506813463384061,0.506813463384061,0.506813463384061,0.0,0.0,0.5,0.0,negligible
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,6,False,knn_classifier,PBU,f1,0.8054960378192701,0.8038394014718584,0.8037402956917884,0.8018696285090492,-0.0016566363474117551,-0.0018706671827392052,0.9819841568908833,0.25,small
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,6,False,knn_classifier,PBU,precision,0.6996503496503497,0.6963222298521912,0.6979648313154683,0.6952107176052927,-0.003328119798158502,-0.002754113710175532,0.9819841568908833,0.6944444444444444,large
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,6,False,knn_classifier,PBU,recall,0.948220064724919,0.9498381877022652,0.947680690399137,0.9476806903991369,0.0016181229773462036,-1.1102230246251565e-16,0.3749025363650168,-0.05555555555555555,negligible
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,6,False,knn_classifier,PBU,auc,0.5083171749221458,0.5007937207434828,0.5046831645677053,0.4985103250615326,-0.007523454178662958,-0.006172839506172756,0.9822388316882927,0.6944444444444444,large
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,5,False,logistic_regression,PBU,f1,0.8214285714285715,0.8214285714285715,0.820867312018929,0.8209651593770504,0.0,9.784735812135015e-05,0.23975006109347674,-0.08,negligible
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,5,False,logistic_regression,PBU,precision,0.7136038186157518,0.7136038186157518,0.7134273469097643,0.7132243979134548,0.0,-0.00020294899630945995,0.7602499389065233,0.08,negligible
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,5,False,logistic_regression,PBU,recall,0.9676375404530744,0.9676375404530744,0.9669902912621359,0.9676375404530745,0.0,0.0006472491909386147,0.23975006109347674,-0.08,negligible
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,5,False,logistic_regression,PBU,auc,0.5393736412245137,0.5393736412245137,0.5382944552167186,0.5378762951211391,0.0,-0.0004181600955794895,0.7602499389065233,0.08,negligible
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,9,False,randomForest_classifier,PBU,f1,0.813986013986014,0.8044692737430167,0.8120082939844242,0.8050911961211333,-0.009516740242997312,-0.006917097863290866,0.994140625,0.654320987654321,large
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,9,False,randomForest_classifier,PBU,precision,0.7167487684729064,0.7076167076167076,0.7131310245225371,0.7081862451981766,-0.009132060856198776,-0.004944779324360438,0.998046875,0.5308641975308642,large
exp5-PBU-feature-set1-NO-SMOTE,warning_sum,set1,9,False,randomForest_classifier,PBU,recall,0.941747572815534,0.9320388349514565,0.9428263214670982,0.9327580007191657,-0.009708737864077555,-0.010068320747932513,0.962890625,0.48148148148148145,large
