Experiment,use_SMOTE,metric,model,target,#best hyperparameters,wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result
exp8-PBU-feature-set2-NO-SMOTE,False,diff_f1,randomForest_classifier,PBU,8,0.578125,0.0625,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_precision,randomForest_classifier,PBU,8,0.421875,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_recall,randomForest_classifier,PBU,8,0.7265625,0.171875,small
exp8-PBU-feature-set2-NO-SMOTE,False,diff_auc,randomForest_classifier,PBU,8,0.421875,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_f1,mlp_classifier,PBU,6,0.26411638843399154,0.08333333333333333,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_precision,mlp_classifier,PBU,6,0.9707623692171735,0.5833333333333334,large
exp8-PBU-feature-set2-NO-SMOTE,False,diff_recall,mlp_classifier,PBU,6,0.26411638843399154,0.027777777777777776,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_auc,mlp_classifier,PBU,6,0.9707623692171735,0.5833333333333334,large
exp8-PBU-feature-set2-NO-SMOTE,False,diff_f1,bayes_network,PBU,2,0.25,-0.5,large
exp8-PBU-feature-set2-NO-SMOTE,False,diff_precision,bayes_network,PBU,2,0.25,-0.5,large
exp8-PBU-feature-set2-NO-SMOTE,False,diff_recall,bayes_network,PBU,2,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_auc,bayes_network,PBU,2,0.25,-0.5,large
exp9-PBU-feature-set2-NO-SMOTE,False,diff_f1,SVC,PBU,1,0.5,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_precision,SVC,PBU,1,0.5,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_recall,SVC,PBU,1,0.5,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_auc,SVC,PBU,1,0.5,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_f1,knn_classifier,PBU,3,0.09072460386071024,-0.2222222222222222,small
exp9-PBU-feature-set2-NO-SMOTE,False,diff_precision,knn_classifier,PBU,3,0.39463401306714063,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_recall,knn_classifier,PBU,3,0.09072460386071024,-0.4444444444444444,medium
exp9-PBU-feature-set2-NO-SMOTE,False,diff_auc,knn_classifier,PBU,3,0.39463401306714063,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_f1,logistic_regression,PBU,1,0.5,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_precision,logistic_regression,PBU,1,0.5,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_recall,logistic_regression,PBU,1,0.5,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_auc,logistic_regression,PBU,1,0.5,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_f1,randomForest_classifier,PBU,7,0.65625,-0.08163265306122448,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_precision,randomForest_classifier,PBU,7,0.1875,-0.12244897959183673,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_recall,randomForest_classifier,PBU,7,0.6002523190651541,0.04081632653061224,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_auc,randomForest_classifier,PBU,7,0.1875,-0.10204081632653061,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_f1,mlp_classifier,PBU,6,0.8534112702177443,0.3888888888888889,medium
exp9-PBU-feature-set2-NO-SMOTE,False,diff_precision,mlp_classifier,PBU,6,0.9707623692171735,0.5555555555555556,large
exp9-PBU-feature-set2-NO-SMOTE,False,diff_recall,mlp_classifier,PBU,6,0.8534112702177443,0.3333333333333333,medium
exp9-PBU-feature-set2-NO-SMOTE,False,diff_auc,mlp_classifier,PBU,6,0.9707623692171735,0.5555555555555556,large
exp9-PBU-feature-set2-NO-SMOTE,False,diff_f1,bayes_network,PBU,2,0.75,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_precision,bayes_network,PBU,2,0.25,-0.5,large
exp9-PBU-feature-set2-NO-SMOTE,False,diff_recall,bayes_network,PBU,2,0.75,0.0,negligible
exp9-PBU-feature-set2-NO-SMOTE,False,diff_auc,bayes_network,PBU,2,0.5,0.0,negligible
exp10-PBU-feature-set2-NO-SMOTE,False,diff_f1,SVC,PBU,1,0.5,0.0,negligible
exp10-PBU-feature-set2-NO-SMOTE,False,diff_precision,SVC,PBU,1,0.5,0.0,negligible
exp10-PBU-feature-set2-NO-SMOTE,False,diff_recall,SVC,PBU,1,0.5,0.0,negligible
exp10-PBU-feature-set2-NO-SMOTE,False,diff_auc,SVC,PBU,1,0.5,0.0,negligible
exp10-PBU-feature-set2-NO-SMOTE,False,diff_f1,knn_classifier,PBU,3,0.125,-0.5555555555555556,large
exp10-PBU-feature-set2-NO-SMOTE,False,diff_precision,knn_classifier,PBU,3,0.125,-0.7777777777777778,large
exp10-PBU-feature-set2-NO-SMOTE,False,diff_recall,knn_classifier,PBU,3,0.625,0.2222222222222222,small
exp10-PBU-feature-set2-NO-SMOTE,False,diff_auc,knn_classifier,PBU,3,0.125,-0.7777777777777778,large
exp10-PBU-feature-set2-NO-SMOTE,False,diff_f1,logistic_regression,PBU,1,0.5,0.0,negligible
exp10-PBU-feature-set2-NO-SMOTE,False,diff_precision,logistic_regression,PBU,1,0.5,0.0,negligible
exp10-PBU-feature-set2-NO-SMOTE,False,diff_recall,logistic_regression,PBU,1,0.5,0.0,negligible
exp10-PBU-feature-set2-NO-SMOTE,False,diff_auc,logistic_regression,PBU,1,0.5,0.0,negligible
exp10-PBU-feature-set2-NO-SMOTE,False,diff_f1,randomForest_classifier,PBU,8,0.80859375,0.328125,small
exp10-PBU-feature-set2-NO-SMOTE,False,diff_precision,randomForest_classifier,PBU,8,0.6796875,0.203125,small
exp10-PBU-feature-set2-NO-SMOTE,False,diff_recall,randomForest_classifier,PBU,8,0.875,0.34375,medium
exp10-PBU-feature-set2-NO-SMOTE,False,diff_auc,randomForest_classifier,PBU,8,0.6796875,0.203125,small
exp10-PBU-feature-set2-NO-SMOTE,False,diff_f1,mlp_classifier,PBU,6,0.8957935981579257,0.4444444444444444,medium
exp10-PBU-feature-set2-NO-SMOTE,False,diff_precision,mlp_classifier,PBU,6,0.9819841568908833,0.6666666666666666,large
exp10-PBU-feature-set2-NO-SMOTE,False,diff_recall,mlp_classifier,PBU,6,0.8957935981579257,0.4444444444444444,medium
