Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_85_s17.java,ds_3_snip_85_s17.java,9,7,2,0,1,246
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_84_s16.java,ds_3_snip_84_s16.java,8,6,2,0,2,235
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_83_s15.java,ds_3_snip_83_s15.java,9,5,4,0,0,446
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_82_removeName.java,ds_3_snip_82_removeName.java,11,7,4,0,2,288
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_81_assertEquals.java,ds_3_snip_81_assertEquals.java,16,9,7,0,11,498
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_80_s12.java,ds_3_snip_80_s12.java,7,5,2,0,0,164
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_7_deliverGift.java,ds_3_snip_7_deliverGift.java,17,6,11,0,0,583
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_79_s11.java,ds_3_snip_79_s11.java,8,6,2,0,2,238
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_78_moveUnit.java,ds_3_snip_78_moveUnit.java,16,12,4,0,1,397
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_77_getDatabaseURIs.java,ds_3_snip_77_getDatabaseURIs.java,17,8,9,0,1,468
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_76_TestMethodRunner.java,ds_3_snip_76_TestMethodRunner.java,10,5,5,0,0,382
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_75_Date.java,ds_3_snip_75_Date.java,13,5,8,0,0,389
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_74_s6.java,ds_3_snip_74_s6.java,14,9,5,0,2,342
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_73_quit.java,ds_3_snip_73_quit.java,12,7,5,0,1,238
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_72_Grantee.java,ds_3_snip_72_Grantee.java,18,8,10,0,0,657
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_71_compactString.java,ds_3_snip_71_compactString.java,11,8,3,0,2,386
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_70_s2.java,ds_3_snip_70_s2.java,18,12,6,0,6,546
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_6_s39.java,ds_3_snip_6_s39.java,7,5,2,0,0,186
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_69_s1.java,ds_3_snip_69_s1.java,16,11,5,0,1,472
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_68_purgeOldMessagesFromMessagesToIgnore.java,ds_3_snip_68_purgeOldMessagesFromMessagesToIgnore.java,15,11,4,0,3,670
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_67_s99.java,ds_3_snip_67_s99.java,10,7,3,0,12,438
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_66_s98.java,ds_3_snip_66_s98.java,8,5,3,0,1,269
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_65_getButtonAction.java,ds_3_snip_65_getButtonAction.java,16,10,5,1,0,532
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_64_actionPerformed2.java,ds_3_snip_64_actionPerformed2.java,14,5,9,0,0,348
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_63_s95.java,ds_3_snip_63_s95.java,8,5,3,0,0,261
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_62_s94.java,ds_3_snip_62_s94.java,10,7,3,0,2,183
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_61_getParametersMethod.java,ds_3_snip_61_getParametersMethod.java,17,13,4,0,5,708
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_60_getAvailableChannels.java,ds_3_snip_60_getAvailableChannels.java,20,9,11,0,0,521
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_5_expectedException.java,ds_3_snip_5_expectedException.java,10,7,3,0,2,382
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_59_jjMoveStringLiteralDfa18_0.java,ds_3_snip_59_jjMoveStringLiteralDfa18_0.java,14,10,4,0,2,470
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_58_displayTileCursor.java,ds_3_snip_58_displayTileCursor.java,17,11,6,0,8,596
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_57_getStateString.java,ds_3_snip_57_getStateString.java,16,10,6,0,0,414
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_56_getMessage.java,ds_3_snip_56_getMessage.java,13,7,6,0,2,402
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_55_correctTimeZone.java,ds_3_snip_55_correctTimeZone.java,11,8,3,0,2,351
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_54_jjCanMove_1.java,ds_3_snip_54_jjCanMove_1.java,14,10,4,0,3,395
